bowler,balls_bowled,runs_conceded,wickets_taken,innings,overs_bowled,economy_rate,bowling_avg,bowling_strike_rate
S Kaul,400,564,16,21,66.67,8.46,35.25,25.0
KH Pandya,439,518,15,24,73.17,7.08,34.53,29.27
Mustafizur Rahman,333,374,15,15,55.5,6.74,24.93,22.2
RG Sharma,336,435,15,29,56.0,7.77,29.0,22.4
KW Richardson,301,406,15,14,50.17,8.09,27.07,20.07
Kuldeep Yadav,300,411,15,13,50.0,8.22,27.4,20.0
Bipul Sharma,394,525,15,25,65.67,7.99,35.0,26.27
JR Hopes,363,537,14,20,60.5,8.88,38.36,25.93
LR Shukla,313,444,14,26,52.17,8.51,31.71,22.36
RR Powar,443,538,13,26,73.83,7.29,41.38,34.08
AC Thomas,306,382,13,15,51.0,7.49,29.38,23.54
CH Gayle,520,661,12,33,86.67,7.63,55.08,43.33
VRV Singh,358,521,12,18,59.67,8.73,43.42,29.83
Anureet Singh,364,519,12,19,60.67,8.55,43.25,30.33
Ankit Sharma,368,436,12,20,61.33,7.11,36.33,30.67
GD McGrath,323,358,12,14,53.83,6.65,29.83,26.92
R McLaren,346,500,12,18,57.67,8.67,41.67,28.83
Pankaj Singh,311,472,11,17,51.83,9.11,42.91,28.27
GJ Maxwell,334,483,11,33,55.67,8.68,43.91,30.36
HH Pandya,349,505,10,31,58.17,8.68,50.5,34.9
AN Ahmed,343,485,9,17,57.17,8.48,53.89,38.11
DJ Hussey,311,445,7,26,51.83,8.59,63.57,44.43
